font,by,Thin,ExtraLight,Light,Regular,Medium,SemiBold,Bold,Black,ExtraBold
Anuphan,Cadson Demak,Thin,ExtraLight,Light,Regular,Medium,SemiBold,Bold,,
Athiti,Cadson Demak,,ExtraLight,Light,Regular,Medium,SemiBold,Bold,,
BaiJamjuree,Cadson Demak,,ExtraLight,Light,Regular,Medium,SemiBold,Bold,,
Charm,Cadson Demak,,,,Regular,,,Bold,,
Charmonman,Cadson Demak,,,,Regular,,,Bold,,
Chonburi,Cadson Demak,,,,Regular,,,,,
Fahkwang,Cadson Demak,,ExtraLight,Light,Regular,Medium,SemiBold,Bold,,
IBM Plex Sans Thai,"Mike Abbink, Bold Monday",Thin,ExtraLight,Light,Regular,Medium,SemiBold,Bold,,
IBM Plex Sans Thai Looped,"Mike Abbink, Bold Monday",Thin,ExtraLight,Light,Regular,Medium,SemiBold,Bold,,
Itim,Cadson Demak,,,,Regular,,,,,
K2D,Cadson Demak,Thin,ExtraLight,Light,Regular,Medium,SemiBold,Bold,,ExtraBold
Kanit,Cadson Demak,Thin,ExtraLight,Light,Regular,Medium,SemiBold,Bold,Black,ExtraBold
Kodchasan,Cadson Demak,,ExtraLight,Light,Regular,Medium,SemiBold,Bold,,
KoHo,Cadson Demak,,ExtraLight,Light,Regular,Medium,SemiBold,Bold,,
Krub,Cadson Demak,,ExtraLight,Light,Regular,Medium,SemiBold,Bold,,
Maitree,Cadson Demak,,ExtraLight,Light,Regular,Medium,SemiBold,Bold,,
Mali,Cadson Demak,,ExtraLight,Light,Regular,Medium,SemiBold,Bold,,
Mitr,Cadson Demak,,ExtraLight,Light,Regular,Medium,SemiBold,Bold,,
Niramit,Cadson Demak,,ExtraLight,Light,Regular,Medium,SemiBold,Bold,,
Noto Sans Thai,Google,Thin,ExtraLight,Light,Regular,Medium,SemiBold,Bold,Black,ExtraBold
Noto Sans Thai Looped,Google,Thin,ExtraLight,Light,Regular,Medium,SemiBold,Bold,Black,ExtraBold
Noto Sans Thai Condensed,Google,Thin,ExtraLight,Light,Regular,Medium,SemiBold,Bold,Black,ExtraBold
Noto Sans Thai ExtraCondensed,Google,Thin,ExtraLight,Light,Regular,Medium,SemiBold,Bold,Black,ExtraBold
Noto Sans Thai Semi Condensed,Google,Thin,ExtraLight,Light,Regular,Medium,SemiBold,Bold,Black,ExtraBold
Noto Serif Thai,Google,Thin,ExtraLight,Light,Regular,Medium,SemiBold,Bold,Black,ExtraBold
Noto Serif Thai Condensed,Google,Thin,ExtraLight,Light,Regular,Medium,SemiBold,Bold,Black,ExtraBold
Noto Serif Thai Extra Condensed,Google,Thin,ExtraLight,Light,Regular,Medium,SemiBold,Bold,Black,ExtraBold
Noto Serif Thai Semi Condensed,Google,Thin,ExtraLight,Light,Regular,Medium,SemiBold,Bold,Black,ExtraBold
Pattaya,Cadson Demak,,,,Regular,,,,,
Pridi,Cadson Demak,,ExtraLight,Light,Regular,Medium,SemiBold,Bold,,
Prompt,Cadson Demak,Thin,ExtraLight,Light,Regular,Medium,SemiBold,Bold,Black,ExtraBold
Sarabun,Suppakit Chalermlarp,Thin,ExtraLight,Light,Regular,Medium,SemiBold,Bold,,ExtraBold
Sriracha,Cadson Demak,,,,Regular,,,,,
Srisakdi,Cadson Demak,,,,Regular,,,Bold,,
Taviraj,Cadson Demak,Thin,ExtraLight,Light,Regular,Medium,SemiBold,Bold,Black,ExtraBold
Thasadith,Cadson Demak,,,,Regular,,,Bold,,
Trirong,Cadson Demak,Thin,ExtraLight,Light,Regular,Medium,SemiBold,Bold,Black,ExtraBold
TH Kodchasal,,,,,Regular,,,Bold,,
TH SarabunNew,,,,,Regular,,,Bold,,
TH Srisakdi,,,,,Regular,,,Bold,,
TH Sarabun,,,,,Regular,,,Bold,,
TH K2D July8,,,,,Regular,,,Bold,,
TH Charm of AU,,,,,Regular,,,Bold,,
TH SarabunITù,,,,,Regular,,,Bold,,
TH NiramitITù,,,,,Regular,,,Bold,,
TH Chakra Petch,,,,,Regular,,,Bold,,
TH Krub,,,,,Regular,,,Bold,,
TH Mali Grade6,,,,,Regular,,,Bold,,
TH Niramit AS,,,,,Regular,,,Bold,,
TH Fahkwang,,,,,Regular,,,Bold,,
TH Charmonman,,,,,Regular,,,Bold,,
TH Baijam,,,,,Regular,,,Bold,,
TH KoHo,,,,,Regular,,,Bold,,
Ekkamai Standard,Worachet,,,Light,Regular,,,,,
Ekkamai New,Worachet,Thin,,,Regular,,,Bold,,
Sanukchang,Surafont,,,,Regular,,,,,
maaja,หมาจ๋า,,,,Regular,,,,,
SOV_kwai,Worawut Thanawatanawanich,,,,Regular,,,,,
UID SALMON 2019,UID FONT,,,,Regular,,,,,
FC Iconic,Fontcraft,,,,Regular,,,Bold,,
FC Iconic Text,Fontcraft,,,,Regular,,,,,
FC Motorway,Fontcraft,,,,Regular,,,Bold,,
FC Motorway Semi-condensed,Fontcraft,,,,Regular,,,Bold,,
FC Active,Fontcraft,,,Light,Regular,,,,,
FC Hype,Fontcraft,,,Light,,,,Bold,,
FC Fast,Fontcraft,,,,,,,Bold,,
FC Fastest,Fontcraft,,,,,,,Bold,,
FC Magic,Fontcraft,,,,Regular,,,,,
FC Candy,Fontcraft,,,,Regular,,,,,
FC Candy Color,Fontcraft,,,,Regular,,,,,
FC Muffin,Fontcraft,,,,Regular,,,,,
FC Lamoon,Fontcraft,,,Light,Regular,,,Bold,,
FC Ekaluck,Fontcraft,,,Light,Regular,,,Bold,,
FC Friday,Fontcraft,,,,,Medium,,Bold,,
FC SaveSpace,Fontcraft,,,,Regular,,,,,
